3cpio	0.14.0-1ubuntu1
liblcms2-2:amd64	2.17-1ubuntu0.2
libldap2:amd64	2.6.10+dfsg-1ubuntu5
libldap-common	2.6.10+dfsg-1ubuntu5
liblerc4:amd64	4.0.0+ds-5ubuntu2
libllvm21:amd64	1:21.1.8-6ubuntu1
liblmdb0:amd64	0.9.31-1build2
liblocale-gettext-perl	1.07-8
liblsan0:amd64	16-20260322-1ubuntu1
liblsof0	4.99.4+dfsg-2build2
libluajit-5.1-2:amd64	2.1.0+openresty20251030-1
libluajit-5.1-common	2.1.0+openresty20251030-1
liblvm2cmd2.03:amd64	2.03.31-2ubuntu3
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmagic1t64:amd64	1:5.46-5build2
libmagic-mgc	1:5.46-5build2
libmaxminddb0:amd64	1.12.2-1build2
libmbim-glib4:amd64	1.32.0-2ubuntu1
libmbim-proxy	1.32.0-2ubuntu1
libmbim-utils	1.32.0-2ubuntu1
libmd0:amd64	1.1.0-2build4
libmm-glib0:amd64	1.25.95-1ubuntu1
libmnl0:amd64	1.0.5-3build1
libmodule-find-perl	0.17-1
libmount1:amd64	2.41.3-3ubuntu2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpc3:amd64	1.3.1-3
libmpfr6:amd64	4.2.2-3
libmspack0t64:amd64	0.11-1.1build2
libmultipath0	0.14.3-2ubuntu1
libmysqlclient24:amd64	8.4.10-0ubuntu0.26.04.1
libnbd0:amd64	1.24.2-1ubuntu1
libncurses6:amd64	6.6+20251231-1
libncursesw6:amd64	6.6+20251231-1
libndctl6:amd64	81-1ubuntu1
libnetfilter-conntrack3:amd64	1.1.1-1
libnetplan1:amd64	1.2-1ubuntu5
libnettle8t64:amd64	3.10.2-1
libnewt0.52:amd64	0.52.25-1ubuntu3
libnfnetlink0:amd64	1.0.2-3build1
libnfs14:amd64	5.0.2-1ubuntu1.1
libnftables1:amd64	1.1.6-1
libnftnl11:amd64	1.3.1-1
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnl-3-200:amd64	3.12.0-2
libnl-genl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnorm1t64:amd64	1.5.9+dfsg-4
libnpth0t64:amd64	1.8-3build1
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss3:amd64	2:3.120-1ubuntu2.1
libnss-systemd:amd64	259.5-0ubuntu3.4
libntfs-3g89t64:amd64	1:2022.10.3-5ubuntu1.1
libnuma1:amd64	2.0.19-1build1
libnvidia-compute-595:amd64	595.71.05-0ubuntu0.26.04.1
libnvidia-compute-595-server:amd64	595.71.05-0ubuntu0.26.04.1
libnvme1t64:amd64	1.16.1-4
libonig5:amd64	6.9.10-1build1
libopeniscsiusr	2.1.11-3ubuntu3
libopenjp2-7:amd64	2.5.4-1ubuntu0.1
libp11-kit0:amd64	0.26.2-2
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1.1
libpam0g:amd64	1.7.0-5ubuntu3.1
libpam-cap:amd64	1:2.75-10ubuntu2
libpam-modules:amd64	1.7.0-5ubuntu3.1
libpam-modules-bin	1.7.0-5ubuntu3.1
libpam-runtime	1.7.0-5ubuntu3.1
libpam-systemd:amd64	259.5-0ubuntu3.4
libparted2t64:amd64	3.6-6
libpcap0.8t64:amd64	1.10.6-1ubuntu1
libpci3:amd64	1:3.14.0-1build2
libpciaccess0:amd64	0.18.1-1ubuntu4.1
libpcre2-8-0:amd64	10.46-1build1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build2
libpipeline1:amd64	1.5.8-2
libpixman-1-0:amd64	0.46.4-1
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpmem1:amd64	1.13.1-1.1ubuntu4
libpmemobj1:amd64	1.13.1-1.1ubuntu4
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpopt0:amd64	1.19+dfsg-2build1
libpq5:amd64	18.6-0ubuntu0.26.04.1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproc-processtable-perl:amd64	0.637-1
libpsl5t64:amd64	0.21.2-1.1build2
libpython3.14:amd64	3.14.4-1ubuntu0.1
libpython3.14-dev:amd64	3.14.4-1ubuntu0.1
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.1
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.1
libpython3.14-testsuite	3.14.4-1ubuntu0.1
libpython3-dev:amd64	3.14.3-0ubuntu2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libqhull-r8.0:amd64	2020.2-8
libqmi-glib5:amd64	1.38.0-1
libqmi-proxy	1.38.0-1
libqmi-utils	1.38.0-1
libqrtr-glib0:amd64	1.2.2-2ubuntu1
libquadmath0:amd64	16-20260322-1ubuntu1
librados2	20.2.0-0ubuntu2
libraqm0:amd64	0.10.4-1
librbd1	20.2.0-0ubuntu2
librdmacm1t64:amd64	61.0-2ubuntu3
libreadline8t64:amd64	8.3-4
librhash1:amd64	1.4.6-1.1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux1:amd64	3.9-4build1
libsemanage2:amd64	3.9-1build1
libsemanage-common	3.9-1build1
libsensors5:amd64	1:3.6.2-2build1
libsensors-config	1:3.6.2-2build1
libsepol2:amd64	3.9-2
libsframe3:amd64	2.46-3ubuntu2
libsgutils2-1.48:amd64	1.48-3ubuntu3.1
libsharpyuv0:amd64	1.5.0-0.1build1
libslang2:amd64	2.3.3-5build1
libsmartcols1:amd64	2.41.3-3ubuntu2
libsnappy1v5:amd64	1.2.2-2
libsodium23:amd64	1.0.18-2
libsort-naturally-perl	1.03-4
libsqlite3-0:amd64	3.46.1-9ubuntu0.2
libss2:amd64	1.47.2-3ubuntu4
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.3
libssl3t64:amd64	3.5.5-1ubuntu3.3
libssl-dev:amd64	3.5.5-1ubuntu3.3
libstdc++-15-dev:amd64	15.2.0-16ubuntu1
libstdc++6:amd64	16-20260322-1ubuntu1
libstemmer0d:amd64	3.0.1-1
libsystemd0:amd64	259.5-0ubuntu3.4
libsystemd-shared:amd64	259.5-0ubuntu3.4
libsz2:amd64	1.1.5-1
libtasn1-6:amd64	4.21.0-2
libtbb12:amd64	2022.3.0-2
libtbbbind-2-5:amd64	2022.3.0-2
libtbbmalloc2:amd64	2022.3.0-2
libtcl8.6:amd64	8.6.17+dfsg-1build1
libterm-readkey-perl	2.38-2build5
libtext-charwidth-perl:amd64	0.04-11build4
libtext-iconv-perl:amd64	1.7-8.1
libtext-wrapi18n-perl	0.06-10
libtiff6:amd64	4.7.0-3ubuntu5
libtinfo6:amd64	6.6+20251231-1
libtirpc3t64:amd64	1.3.7-0.1
libtirpc-common	1.3.7-0.1
libtk8.6:amd64	8.6.17-1build1
libtraceevent1:amd64	1:1.8.7-1
libtraceevent1-plugin:amd64	1:1.8.7-1
libtracefs1:amd64	1.8.2-1ubuntu1
libtsan2:amd64	16-20260322-1ubuntu1
libtss2-esys-3.0.2-0t64:amd64	4.1.3-6
libtss2-mu-4.0.1-0t64:amd64	4.1.3-6
libtss2-sys1t64:amd64	4.1.3-6
libtss2-tcti-cmd0t64:amd64	4.1.3-6
libtss2-tcti-device0t64:amd64	4.1.3-6
libtss2-tcti-mssim0t64:amd64	4.1.3-6
libtss2-tcti-swtpm0t64:amd64	4.1.3-6
libubsan1:amd64	16-20260322-1ubuntu1
libuchardet0:amd64	0.0.8-2
libudev1:amd64	259.5-0ubuntu3.4
libudisks2-0:amd64	2.10.91-1ubuntu2
libunistring5:amd64	1.3-2build1
libunwind8:amd64	1.8.3-0ubuntu1
libupower-glib3:amd64	1.91.1-1
liburcu8t64:amd64	0.15.6-1
libusb-1.0-0:amd64	2:1.0.29-2build1
libusbmuxd-2.0-7:amd64	2.1.1-1
libuuid1:amd64	2.41.3-3ubuntu2
libuv1t64:amd64	1.51.0-2ubuntu1
libvolume-key1:amd64	0.3.12-10build2
libwebp7:amd64	1.5.0-0.1build1
libwebpdemux2:amd64	1.5.0-0.1build1
libwebpmux3:amd64	1.5.0-0.1build1
libwrap0:amd64	7.6.q-36build2
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libxau6:amd64	1:1.0.11-1build2
libxcb1:amd64	1.17.0-2ubuntu1
libxcb-render0:amd64	1.17.0-2ubuntu1
libxcb-shm0:amd64	1.17.0-2ubuntu1
libxdmcp6:amd64	1:1.1.5-2
libxext6:amd64	2:1.3.4-1build3
libxft2:amd64	2.3.6-1build2
libxkbcommon0:amd64	1.13.1-1
libxml2-16:amd64	2.15.2+dfsg-0.1ubuntu0.1
libxmlb2:amd64	0.3.24-2
libxmlsec1-1:amd64	1.3.9-1
libxmlsec1-openssl1:amd64	1.3.9-1
libxmuu1:amd64	2:1.1.3-4
libxnvctrl0:amd64	510.47.03-0ubuntu7
libxrender1:amd64	1:0.9.12-1build1
libxslt1.1:amd64	1.1.45-0.1
libxss1:amd64	1:1.2.3-1build4
libxtables12:amd64	1.8.11-2ubuntu3
libxxhash0:amd64	0.8.3-2build1
libyaml-0-2:amd64	0.2.5-2build3
libze1:amd64	1.28.2-2
libzmq5:amd64	4.3.5-1build3
libzopfli1	1.0.3-3build1
